window,k,strategy,split,n,mean_block_rate,median_block_rate
prefix:50,10,earliest,rumor,1937,0.0777,0.0117
prefix:50,10,earliest,nonrumor,2147,0.0137,0.0
prefix:50,10,followers,all,4084,0.09,0.0123
prefix:50,10,followers,rumor,1937,0.1439,0.046
prefix:50,10,followers,nonrumor,2147,0.0415,0.0034
prefix:50,10,outdegree_obs,all,4084,0.0879,0.0065
prefix:50,10,outdegree_obs,rumor,1937,0.1468,0.0463
prefix:50,10,outdegree_obs,nonrumor,2147,0.0348,0.0
prefix:50,10,greedy_oracle,all,4084,0.1211,0.028
prefix:50,10,greedy_oracle,rumor,1937,0.2007,0.1078
prefix:50,10,greedy_oracle,nonrumor,2147,0.0493,0.0077
